checkpoint,total_reward
mario_net_1.chkpt,737.0
mario_net_11.chkpt,1846.0
mario_net_12.chkpt,1605.0
mario_net_15.chkpt,2259.0
mario_net_18.chkpt,2193.0
mario_net_20.chkpt,-87.0
mario_net_21.chkpt,1466.0
mario_net_32.chkpt,4220.0
mario_net_50.chkpt,3061.0
mario_net_87.chkpt,1185.0
mario_net_90.chkpt,2467.0
mario_net_97.chkpt,720.0
mario_net_102.chkpt,3390.0
mario_net_105.chkpt,1688.0
mario_net_110.chkpt,2312.0
mario_net_117.chkpt,2849.0
mario_net_120.chkpt,2902.0
mario_net_123.chkpt,4075.0
mario_net_127.chkpt,2787.0
mario_net_137.chkpt,1078.0
mario_net_157.chkpt,1463.0
mario_net_170.chkpt,1633.0
mario_net_222.chkpt,1822.0
